utterance,name,h,m,s
"Yeah. You could for sure, lighten the car up and improve tire traction and-",Elon Musk, 01,53,28
Have you seen that company’s stuff? What they do?,Joe Rogan, 01,53,35
"I don’t know specifically, but there’s-",Elon Musk, 01,53,37
"It’s pretty dope. They make it pretty dope looking… They take model S and they widen it and give it a bunch of carbon fiber. That’s it, right there.",Joe Rogan, 01,53,39
Cool.,Elon Musk, 01,53,46
"Ooh-la-la, look at that.",Joe Rogan, 01,53,46
That looks pretty nice.,Elon Musk, 01,53,48
"Yeah, it does. Now, the plaid version of the model S, are you going to widen the track and do a bunch of different, I know you guys are testing at the Nurburgring. Can you not talk about that?",Joe Rogan, 01,53,48
"Well, I think we’ve got to leave that for a proper sort of product unveil.",Elon Musk, 01,54,01
I understand.,Joe Rogan, 01,54,06
Yeah.,Elon Musk, 01,54,06
I understand. Last time you were here you convince me to buy a Tesla. I bought it and it’s fucking insane.,Joe Rogan, 01,54,07
Oh great. Glad you like it.,Elon Musk, 01,54,15
Aw Man.,Joe Rogan, 01,54,15
Pretty fun.,Elon Musk, 01,54,15
"I don’t… It’s not just pretty fun. The way I’ve described it is, it makes other cars seem stupid. They just seem dumb. And I love dumb things. I love dumb cars. Like I love campfires. I love campfires. I have a 1993 Porsche that’s air cooled.",Joe Rogan, 01,54,16
Sure.,Elon Musk, 01,54,32
It’s not that fast. It’s really slow compared to the Tesla really.,Joe Rogan, 01,54,33
"Yeah, actually, it’s really quite slow. But, okay, sure.",Elon Musk, 01,54,36
"But there’s something engaging about the mechanical, just like the gears and, it’s very analog. But it’s so stupid in comparison to the Tesla. Like when I want to go somewhere in the model S, I hit the gas and it just goes, whee. It just, it like violates time.",Joe Rogan, 01,54,38
Yeah.,Elon Musk, 01,54,57
Yeah.,Joe Rogan, 01,54,57
You’ve tried it like Ludicrous Plus and stuff like that?,Elon Musk, 01,54,59
Oh yeah.,Joe Rogan, 01,55,01
Yeah. Cool.,Elon Musk, 01,55,01
Yeah. Oh yeah.,Joe Rogan, 01,55,02
"We just did a software update where it’ll do, like a, cheetah stance. So yeah. So, because it’s got a dynamic air suspension so it lowers the back.",Elon Musk, 01,55,04
Oh Jesus.,Joe Rogan, 01,55,13
Just like a sprinter basically.,Elon Musk, 01,55,15
Right.,Joe Rogan, 01,55,16
"Like what do you do if you’re a sprinter, you hunker down and then shoo. So I shaved like a 10th of a second off the 0 to 60. I mean it’s pretty fun.",Elon Musk, 01,55,16
"It’s so… I’ve taken so many people. And, I take them for the Holy shit moment. I’m like, “You ready?” like “Hang on there.” and then I stomp on the gas-",Joe Rogan, 01,55,26
And they’ve never felt anything like it.,Elon Musk, 01,55,34
It’s confusing.,Joe Rogan, 01,55,35
Yeah.,Elon Musk, 01,55,37
It really is.,Joe Rogan, 01,55,37
Sure.,Elon Musk, 01,55,38
The instant torque and just the sheer acceleration is baffling.,Joe Rogan, 01,55,40
It’s baffling.,Elon Musk, 01,55,44
It’s baffling.,Joe Rogan, 01,55,45
They’ve never felt it.,Elon Musk, 01,55,45
No.,Joe Rogan, 01,55,46
It’s faster than falling.,Elon Musk, 01,55,46
"It’s crazy. It’s so fast. It’s a roller coaster. And my family yells at me when I stomp the gas. Like I tell my kids, I’m like, “You want to feel it? You want to feel it?” they’re like “Do it, do it, do it.” my wife’s like, “Don’t do it.” Boom. And even if I just do it on the highway for a couple of seconds, it’s very exciting.",Joe Rogan, 01,55,48
"Yeah, pretty fun.",Elon Musk, 01,56,04
It’s very fun.,Joe Rogan, 01,56,05
Yeah. It’s like having your own roller coaster on tap.,Elon Musk, 01,56,05
"It really is like a roller coaster on tap. Without the loop de loops. But, the pinning to your seat, it seems like you’re not supposed to be able to experience that from some sort of a consumer vehicle that a regular person could buy, if you have the money. It seems too crazy. And then the idea that this Roadster is a half of a second faster than that? That’s madness.",Joe Rogan, 01,56,07
"Well with a Roadster, we’re going to do some things that are kind of unfair. So we’re going to take some things from Cadillac rocket world and put them on a car, so.",Elon Musk, 01,56,32
"Oh, I’ve read about that. Explain that. Like what do you?",Joe Rogan, 01,56,44
"Well, like I said, we can’t do the product unveil right here. But, it’s going to do some things that are unfair.",Elon Musk, 01,56,47
Unfair.,Joe Rogan, 01,56,52
"When we do the unveil of the Roadster, let me just say that anyone who’s been waiting, they won’t be sorry. They won’t be sorry.",Elon Musk, 01,56,56
"Oh, but sure, well anything that goes 0 to 60, what is it 1.9? Is that the 0 to 60?",Joe Rogan, 01,57,04
That’s the base model.,Elon Musk, 01,57,09
What’s the top of the food chain model?,Joe Rogan, 01,57,12
[inaudible 00:01:57:14].,Elon Musk, 01,57,14
Okay. Faster than that. Let’s just say faster than that.,Joe Rogan, 01,57,16
"Faster than that, yeah.",Elon Musk, 01,57,18
"That seems so crazy to me. Now, what was it like when the dude threw the steel balls at the window and they were supposed to not break, and it broke?",Joe Rogan, 01,57,18
"Well, yeah. I mean-",Elon Musk, 01,57,29
"I know, extenuating circumstances.",Joe Rogan, 01,57,30
"…at least you know that our demos are authentic, because I was not expecting that and then I think I muttered, under my breath, like “Holy shit”.",Elon Musk, 01,57,31
Yeah. You didn’t get mad though.,Joe Rogan, 01,57,43
No-,Elon Musk, 01,57,45
You didn’t Steve jobs it.,Joe Rogan, 01,57,46
"No, I definitely swore, I didn’t think the micro pick it up but it did. But, so like we practiced this, behind the scenes. At Tesla, we don’t do like tons of practice for our demos, because we’re working on the cars. We’re building new technologies and improving the fundamental product. So we’re not spending, doing hundreds of practice things or anything like that. We don’t have time for that. But, just hours before the demo, both Franz, head of design and I were in the studio throwing steel balls at the window, and it’s bouncing right off. And like, “Okay, this seems pretty good. It seems like we got it.” Okay? And then, we think what happened was, when Franz hit the door with the sledgehammer-",Elon Musk, 01,57,49
"Oh, yeah.",Joe Rogan, 01,58,51
"…show, this is exoskeleton, high strength, hardened steel. You can literally wind up with a sledgehammer, full on double-handed sledgehammer and hit the door and there’s not even a dent. It’s cool. But we think that cracked the corner of the glass at the bottom and then, once you crack the corner of the glass it’s game over. So then when you threw the ball that’s what cracked the glass.",Elon Musk, 01,58,51
So in hindsight-,Joe Rogan, 01,59,24
It didn’t go through though.,Elon Musk, 01,59,25
It didn’t go through.,Joe Rogan, 01,59,26
It’s doesn’t go through.,Elon Musk, 01,59,26
"That’s true. It didn’t shatter the whole thing, like a regular window would either, which would just dissolve. Right? So in hindsight, the ball should have been first, sledgehammer second.",Joe Rogan, 01,59,26
Yeah.,Elon Musk, 01,59,36
"You live, you learn.",Joe Rogan, 01,59,36
"Yeah, exactly.",Elon Musk, 01,59,37
"Listen, man, we’ve taken up a lot of your time. You had a child recently.",Joe Rogan, 01,59,39
"Yeah, I got to get back to it.",Elon Musk, 01,59,42
"It’s amazing that you had the time to come down here. And I really appreciate that. I appreciate everything you do, man. I’m glad you’re out there. And I really appreciate you coming down here and sharing your perspective.",Joe Rogan, 01,59,43
"Well, I think you’ve got a great show. Thanks for having me on.",Elon Musk, 01,59,54
Thank you. My pleasure.,Joe Rogan, 01,59,56
All right.,Elon Musk, 01,59,58
"Elon Musk, ladies and gentlemen. Good night.",Joe Rogan, 01,59,58
"Anyway, that should get a little play.",Elon Musk, 02,00,02
,Jamie, 02,00,07
